start_station_name,start_lat,start_lng
W 87 St & Amsterdam Ave,40.78839,-73.9747
Forsyth St & Canal St,40.715882182,-73.994187117
Clinton St & Joralemon St,40.69239502,-73.99337909
Bushwick Ave & Harman St,40.693582535,-73.925317764
Jefferson St & Cypress Ave,40.70907,-73.92157
Driggs Ave & N Henry St,40.72325,-73.94308
Cedar Ave & W Fordham Rd,40.86156,-73.91219
W 37 St & 5 Ave,40.75038,-73.98339
W Broadway & Spring St,40.72494672359416,-74.00165855884552
Jackson St & Leonard St,40.71638031973561,-73.94821286201477
Grand Concourse & E 164 St,40.829608,-73.921461
W 42 St & Dyer Ave,40.758901238,-73.993753314
6 Ave & Walker St,40.719569325,-74.00516057
8 Ave & W 27 St,40.747968,-73.996637
E 17 St & Broadway,40.73704984,-73.99009296
6 Ave & 21 St,40.66019237,-73.990873098
E 72 St & York Ave,40.76663814,-73.95348296
University Pl & E 14 St,40.734814,-73.992085
E 51 St & 1 Ave,40.75455731,-73.96592976
Old Fulton St,40.70277159,-73.99383605
1 Ave & E 30 St,40.74144387,-73.97536082
Berkeley Pl & 7 Ave,40.675146838709786,-73.97523209452629
Broadway & W 29 St,40.7462009,-73.98855723
W 36 St & 9 Ave,40.75462324029105,-73.99516761302948
W 44 St & 5 Ave,40.75500254,-73.98014437
E 106 St & Madison Ave,40.7934337,-73.94945003
21 St & 23 Ave,40.778557,-73.919046
Division St & Bowery,40.714193,-73.996732
Greenwich St & Hubert St,40.721319,-74.010065
Nassau Ave & Newell St,40.724812564400175,-73.94752621650696
Walton Ave & E 153 St,40.822351,-73.926907
Dean St & Hoyt St,40.686444,-73.987591
Columbia Heights & Cranberry St,40.700379,-73.995481
31 Rd & 21 St,40.766824,-73.930486
Melrose St & Broadway,40.69757545,-73.935760379
Sullivan St & Washington Sq,40.73047747,-73.99906065
W 87 St & West End Ave,40.789998174,-73.97759974
Dahill Rd & 12 Ave,40.646037,-73.980963
